text,novel,narrativeTime,speaker,dialogueTurn,speakerType,author,Turn,idCol,NumTurns,word,row_num,dominance,number_emo_words,dominance_straight_mean,speaker_word_turn,time_prep,dominance_emo_std,dominance_emo_mean,dominance_in_home_base,dominance_dist_home_base,dominance_state,dominance_disp_num,dominance_disp_count,dominance_low_disp_count,dominance_high_disp_count,dominance_peak_dist,dominance_is_peak,dominance_disp_dist,dominance_disp_length,dominance_rise_rate,dominance_recovery_rate,dominance_low_rise_rate,dominance_low_recovery_rate,dominance_high_rise_rate,dominance_high_recovery_rate,speaker_num_steps,rolling_window_step,dialogue_turn,speaker_dialogue_turn,Identifier
"I suppose that its influence is physically a bad one. I find it, however, so transcendently stimulating and clarifying to the mind that its secondary action is a matter of small moment.",SignOfFour,0.0107790298873101,Mr. Sherlock Holmes,3,major,Arthur Conan Doyle,0,Mr. Sherlock Holmes-SignOfFour,8,small,15,0.5630000000000001,24,0.534625,1,0.05,0.11271197526625577,0.51779,1.0,0.0,HOME,,3.0,2.0,2.0,0.0,,,,,,,,,,20,0,1,1,bookSpeakers
A man of business habits and some force of character.,SignOfFour,0.1126898579127878,Dr. Watson,81,major,Arthur Conan Doyle,8,Dr. Watson-SignOfFour,5,business,68,0.6352,9,0.6152222222222221,1,0.2,0.09041608264020289,0.7206399999999998,0.0,0.004569397182906942,LOW,1.0,3.0,2.0,2.0,0.004569397182906942,1.0,0.0,1.0,,,,,,,5,1,2,1,bookSpeakers
A man of business habits and some force of character.,SignOfFour,0.1126898579127878,Dr. Watson,81,major,Arthur Conan Doyle,8,Dr. Watson-SignOfFour,5,force,70,0.7922,9,0.6152222222222221,2,0.4,0.09041608264020289,0.7206399999999998,1.0,0.0,HOME,,3.0,2.0,2.0,0.0,,,,,,,,,,5,2,2,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,will,77,0.5984,34,0.6236176470588233,1,0.03333333333333333,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,3,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,desirable,106,0.6118,34,0.6236176470588233,2,0.06666666666666667,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,4,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,congratulate,113,0.6340000000000001,34,0.6236176470588233,3,0.1,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,5,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,pride,122,0.6696,34,0.6236176470588233,4,0.13333333333333333,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,6,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,will,127,0.7704,34,0.6236176470588233,5,0.16666666666666666,0.061951317928704716,0.6276799999999999,0.0,0.08180995485143694,HIGH,1.0,6.0,4.0,3.0,0.08180995485143694,1.0,0.0,1.0,,,,,,,30,7,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,thing,128,0.6754,34,0.6236176470588233,6,0.2,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,8,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,proper,131,0.6768000000000001,34,0.6236176470588233,7,0.23333333333333334,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,9,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,will,133,0.667,34,0.6236176470588233,8,0.26666666666666666,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,10,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,real,135,0.6407999999999999,34,0.6236176470588233,9,0.3,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,11,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,close,137,0.5464,34,0.6236176470588233,10,0.3333333333333333,0.061951317928704716,0.6276799999999999,0.0,0.020369954851436778,LOW,2.0,6.0,4.0,3.0,0.020369954851436778,1.0,0.0,1.0,,,,,,,30,12,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,confirm,140,0.6556,34,0.6236176470588233,11,0.36666666666666664,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,13,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,alliance,145,0.658,34,0.6236176470588233,12,0.4,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,14,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,raise,146,0.6639999999999999,34,0.6236176470588233,13,0.43333333333333335,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,15,3,1,bookSpeakers
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma-Emma,6,leave,152,0.5795999999999999,34,0.6236176470588233,14,0.4666666666666667,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,16,4,2,bookSpeakers
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma-Emma,6,will,155,0.674,34,0.6236176470588233,15,0.5,0.061951317928704716,0.6276799999999999,1.0,0.0,HOME,,6.0,4.0,3.0,0.0,,,,,,,,,,30,17,4,2,bookSpeakers
